Calculation Type,Assemblage,Index_Name,Index_Class,Description,Full Criteria,Simplified Criteria,Notes
BCG,bug,MN_BCG,bug6,Minnesota bug 6 (s forest glide-pool),"Glide Pool streams in the Eastern Broadleaf Forest, and HUC_07030005, with drainage area < 500 sq mi",,
BCG,bug,MN_BCG,bug7,Minnesota bug 7 (prairie glide-pool),"Glide Pool streams in the Prairie Parklands or Tall Aspen Parklands ecological provinces, with drainage area < 500 sq mi",,
BCG,bug,MN_BCG,bug8,Minnesota bug 8 (n coldwater),"Northern coldwater streams in the Laurentian Mixed Forest ecological province, excluding HUC_07030005",,previously referred to as 'cool transitional'
BCG,bug,MN_BCG,bug9,Minnesota bug 9 (s coldwater),"Southern coldwater streams in the Eastern Broadleaf Forest, Prairie Parklands, or Tall Aspen Parklands ecological provinces, and HUC_07030005",,
BCG,fish,MN_BCG,fish1,Minnesota fish 1 (prairie rivers),"Southern, warmwater, drainage area > 300 sq mi",,
BCG,fish,MN_BCG,fish2,Minnesota fish 2 (s wadeable streams),"Southern, warmwater, drainage area > 30 sq mi and < 300 sq mi",,
BCG,fish,MN_BCG,fish3,Minnesota fish 3 (s headwaters),"Southern, warmwater, drainage area < 30 sq mi, gradient > 0.50 m/km",,
BCG,fish,MN_BCG,fish4,Minnesota fish 4 (n forest rivers),"Northern, warmwater, Red Basin, drainage area > 350 sq mi OR Northern, warmwater, not Red Basin, drainage area > 500 sq mi",,
BCG,fish,MN_BCG,fish5,Minnesota fish 5 (n wadeable streams),"Northern, warmwater, Red Basin, drainage area > 50 and < 350 sq mi",,
BCG,fish,MN_BCG,fish6,Minnesota fish 6 (n headwaters),"Northern, warmwater, not Red Basin, drainage area < 50 sq mi, gradient > 0.50 m/km",,
BCG,fish,MN_BCG,fish7,Minnesota fish 7 (wetland-lacustrine),"Southern, warmwater, drainage area < 30 sq mi, gradient < 0.50 m/km OR Northern, warmwater, not Red Basin, drainage area < 50 sq mi, gradient < 0.50 m/km",,
BCG,fish,MN_BCG,fish10a,Minnesota fish 10a (s cold-native brook trout),"Southern, coldwater streams where brook trout are native",,
BCG,fish,MN_BCG,fish10b,Minnesota fish 10b (s cold-not native brook trout),"Southern, coldwater streams where brook trout are not native",,
BCG,fish,MN_BCG,fish11a,Minnesota fish 11a (n cold-native brook trout),"Northern, coldwater streams where brook trout are native",,previously referred to as 'cool-native brook trout'
BCG,fish,MN_BCG,fish11b,Minnesota fish 11b (n cold-not native brook trout),"Northern, coldwater streams where brook trout are not native",,previously referred to as 'cool-not native brook trout'
