"SAMPLEID","INDEX_NAME","INDEX_CLASS","DRAINSQMI","nt_ffg_pred","nt_ffg_pred_NoChi","nt_habit_climb","nt_habit_cling","nt_Odon","nt_Pleco","nt_POET","nt_total","nt_Trich","nt_tv_intol2","nt_tv_intol4","pt_ffg_col","pt_habit_cling","pt_Insect","pt_longlived","pt_NonIns","pt_Odon","pt_Trich","pt_tv_toler6","pt_tv_toler8","ni_total","pi_Chi2Dipt","pi_dom05","pi_ffg_filt","pi_TrichNoHydro","pi_tv_toler8","x_HBI","x_HBI2"
20132112,"MN_IBI_Bugs",7,316.8952772,4,4,4,13,1,0,14,33,5,0,2,48.4848484848485,39.3939393939394,87.8787878787879,9.09090909090909,12.1212121212121,3.03030303030303,15.1515151515152,69.6969696969697,24.2424242424242,323,59.3023255813954,68.7306501547988,49.8452012383901,0.0106254714446159,15.4798761609907,6.93706405823219,6.93706405823219
20132113,"MN_IBI_Bugs",5,216.026011,13,11,7,26,0.477121254719662,0.778151250383644,27,55,10,4,10,34.5454545454545,47.2727272727273,1.2060064195069,18.1818181818182,12.7272727272727,3.63636363636364,18.1818181818182,49.0909090909091,16.3636363636364,324,68.4210526315789,38.2716049382716,28.0864197530864,21.6049382716049,18.5185185185185,6.3763134890469,6.3763134890469
20132117,"MN_IBI_Bugs",8,120.2283898,5,4,4,16,2,1,15,35,6,3,6,37.1428571428571,45.7142857142857,85.7142857142857,14.2857142857143,14.2857142857143,5.71428571428571,17.1428571428571,45.7142857142857,20,304,35.4166666666667,63.8157894736842,63.1578947368421,1.64473684210526,9.53947368421053,6.10553576172543,6.10553576172543
20132120,"MN_IBI_Bugs",7,108.9133571,6,4,4,10,1,0,13,33,1,0.477121254719662,4,48.4848484848485,30.3030303030303,75.7575757575758,18.1818181818182,24.2424242424242,3.03030303030303,3.03030303030303,66.6666666666667,24.2424242424242,324,35.1724137931034,79.6296296296296,41.0493827160494,0.00133835077226225,11.4197530864198,6.65003080949229,6.65003080949229
20132132,"MN_IBI_Bugs",2,1082.312652,6,4,2,15,0,1,16,30,5,0,3,33.3333333333333,50,96.6666666666667,13.3333333333333,3.33333333333333,0,16.6666666666667,66.6666666666667,26.6666666666667,318,70.4545454545455,59.748427672956,14.7798742138365,0.46041556121681,32.0754716981132,7.2186713720341,7.2186713720341
20132141,"MN_IBI_Bugs",2,594.5507217,6,5,5,13,2,1,18,34,5,1,4,32.3529411764706,38.2352941176471,91.1764705882353,17.6470588235294,8.82352941176471,5.88235294117647,14.7058823529412,73.5294117647059,38.2352941176471,311,90.2439024390244,46.9453376205788,20.9003215434084,0.215660511107875,43.0868167202572,7.45188169639727,7.45188169639727
20132470,"MN_IBI_Bugs",2,931.7068641,10,6,5,16,1,0,20,38,7,2,7,28.9473684210526,42.1052631578947,97.3684210526316,7.89473684210526,2.63157894736842,2.63157894736842,18.4210526315789,60.5263157894737,28.9473684210526,304,93.9393939393939,48.6842105263158,24.0131578947368,0.47329484686661,33.8815789473684,7.07956698530002,7.07956698530002
20132479,"MN_IBI_Bugs",7,32.58848937,11,8,4,16,1,0,10,40,3,0,6,35,40,80,12.5,20,2.5,7.5,72.5,35,316,97.752808988764,55.379746835443,9.81012658227848,0.00816878907742713,42.4050632911392,7.47953884232396,7.47953884232396
20132487,"MN_IBI_Bugs",5,10.27081935,8,5,5,18,0.477121254719662,0,11,42,6,0,3,35.7142857142857,42.8571428571429,1.15026199151093,16.6666666666667,16.6666666666667,4.76190476190476,14.2857142857143,73.8095238095238,28.5714285714286,316,91.5966386554622,60.4430379746835,39.5569620253165,3.16455696202532,52.2151898734177,7.38877527767585,7.38877527767585
20132488,"MN_IBI_Bugs",7,69.62765555,11,6,6,19,1,0,16,45,7,0,4,35.5555555555556,42.2222222222222,86.6666666666667,6.66666666666667,13.3333333333333,2.22222222222222,15.5555555555556,66.6666666666667,24.4444444444444,310,89.6103896103896,45.1612903225806,17.4193548387097,0.0124289892229085,18.7096774193548,6.62595035469643,6.62595035469643
20132632,"MN_IBI_Bugs",4,88.77341912,4,3,7,10,0,0,9,31,4,0.477121254719662,7,51.6129032258064,32.258064516129,74.1935483870968,3.2258064516129,25.8064516129032,0,12.9032258064516,64.5161290322581,16.1290322580645,309,99.0909090909091,61.4886731391586,35.2750809061489,0.0097286031935692,5.50161812297735,6.25771795488744,6.25771795488744
20132637,"MN_IBI_Bugs",8,8.996566397,6,6,2,15,2,1,11,24,5,3,7,29.1666666666667,62.5,91.6666666666667,12.5,8.33333333333333,8.33333333333333,20.8333333333333,54.1666666666667,4.16666666666667,309,35.2941176470588,69.57928802589,67.9611650485437,27.5080906148867,3.55987055016181,4.46210192115053,4.46210192115053
20132659,"MN_IBI_Bugs",8,149.2345847,9,7,10,21,2,2,22,47,7,2,4,38.2978723404255,44.6808510638298,91.4893617021277,10.6382978723404,8.51063829787234,4.25531914893617,14.8936170212766,68.0851063829787,27.6595744680851,317,54.8611111111111,58.9905362776025,36.9085173501577,3.15457413249211,8.51735015772871,6.39868798830226,6.39868798830226
20132689,"MN_IBI_Bugs",5,45.87345384,6,3,4,19,0,0,13,42,6,1,5,40.4761904761905,45.2380952380952,1.15026199151093,9.52380952380952,16.6666666666667,0,14.2857142857143,73.8095238095238,33.3333333333333,326,96.5986394557823,50.3067484662577,30.3680981595092,5.52147239263804,45.7055214723926,7.270962827139,7.270962827139
20152699,"MN_IBI_Bugs",4,47.01322741,9,6,6,19,0,2,21,45,11,0.477121254719662,9,46.6666666666667,42.2222222222222,86.6666666666667,6.66666666666667,13.3333333333333,0,24.4444444444444,55.5555555555556,20,329,100,54.7112462006079,18.8449848024316,0.0510058261170207,18.8449848024316,5.89936999855281,5.89936999855281
20152704,"MN_IBI_Bugs",3,132.8399149,16,9,12,16,0.477121254719662,0.301029995663981,18,59,9,5,11,38.9830508474576,27.1186440677966,1.14648477094459,10.1694915254237,16.9491525423729,3.38983050847458,15.2542372881356,59.3220338983051,27.1186440677966,310,98.7654320987654,36.1290322580645,12.5806451612903,27.4193548387097,16.4516129032258,5.4147169080563,5.4147169080563
20152713,"MN_IBI_Bugs",8,36.6972341,10,8,1,23,0,4,17,41,9,7,15,39.0243902439024,56.0975609756098,90.2439024390244,14.6341463414634,9.75609756097561,0,21.9512195121951,43.9024390243902,14.6341463414634,324,51.1627906976744,55.2469135802469,18.2098765432099,20.3703703703704,10.4938271604938,3.39516354250819,3.39516354250819
20152891,"MN_IBI_Bugs",8,11.84391538,10,9,5,25,1,2,21,46,13,6,12,30.4347826086957,54.3478260869565,84.7826086956522,13.0434782608696,15.2173913043478,2.17391304347826,28.2608695652174,50,10.8695652173913,321,78.0487804878049,41.1214953271028,34.5794392523364,17.1339563862928,17.4454828660436,5.82212418240417,5.82212418240417
20196040,"MN_IBI_Bugs",5,123.0541943,5,4,4,20,0,0.477121254719662,20,43,6,0,3,37.2093023255814,46.5116279069767,1.12482867350555,13.953488372093,18.6046511627907,0,13.953488372093,79.0697674418605,32.5581395348837,321,53.125,48.2866043613707,19.6261682242991,4.04984423676012,30.2180685358255,7.34946163000762,7.34946163000762
